repo,model,model_label,success_definition,attempt_1_count,attempt_1_avg_net_loc_change,attempt_1_avg_complexity_change,attempt_1_complexity_row_count,attempt_1_matched_row_count,attempt_1_validation_row_count,attempt_2_count,attempt_2_avg_net_loc_change,attempt_2_avg_complexity_change,attempt_2_complexity_row_count,attempt_2_matched_row_count,attempt_2_validation_row_count,attempt_delta_avg_net_loc_change,attempt_delta_avg_complexity_change,successful_count,successful_avg_net_loc_change,successful_avg_complexity_change,successful_complexity_row_count,successful_matched_row_count,successful_validation_row_count,unsuccessful_count,unsuccessful_avg_net_loc_change,unsuccessful_avg_complexity_change,unsuccessful_complexity_row_count,unsuccessful_matched_row_count,unsuccessful_validation_row_count,success_delta_avg_net_loc_change,success_delta_avg_complexity_change,coverage_rows_considered,coverage_rows_matched,coverage_rows_unmatched,coverage_rows_with_complexity,coverage_rows_without_complexity,coverage_rows_with_validation_report,coverage_rows_unmatched_missing_validation,coverage_rows_unmatched_missing_attempt_label,coverage_rows_unmatched_missing_join_key
mahmoud__glom.fb3c4e76,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,439,-16.321184510250568,-7.45662100456621,438,439,439,211,-24.080568720379148,-12.04326923076923,208,211,211,-7.75938421012858,-4.58664822620302,262,-9.866412213740459,-5.703846153846154,260,262,262,388,-24.899484536082475,-11.10880829015544,386,388,388,15.033072322342017,5.404962136309287,650,650,0,646,4,650,0,0,0
mahmoud__glom.fb3c4e76,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,359,2.98050139275766,0.045584045584045586,351,359,359,97,2.051546391752577,0.40625,96,93,97,-0.9289550010050829,0.3606659544159544,254,2.188976377952756,-0.32793522267206476,247,254,254,198,3.6414141414141414,0.8527918781725888,197,198,198,-1.4524377634613854,-1.1807271008446536,456,452,4,447,9,456,0,4,0
mahmoud__glom.fb3c4e76,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,417,-1.589928057553957,-2.332493702770781,397,417,417,150,-7.68,-4.337837837837838,148,150,150,-6.090071942446043,-2.0053441350670567,274,2.934306569343066,-0.616600790513834,253,274,274,293,-8.938566552901024,-4.835616438356165,292,293,293,11.87287312224409,4.219015647842331,567,567,0,545,22,567,0,0,0
oauthlib__oauthlib.1fd52536,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,399,-0.3132832080200501,0.8962025316455696,395,399,399,72,5.083333333333333,4.23943661971831,71,72,72,5.396616541353383,3.3432340880727405,337,-1.1543026706231454,0.10240963855421686,332,337,337,134,4.701492537313433,4.634328358208955,134,134,134,-5.855795207936579,-4.531918719654738,471,471,0,466,5,471,0,0,0
oauthlib__oauthlib.1fd52536,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,400,0.175,1.4746192893401016,394,400,400,54,11.24074074074074,9.423076923076923,52,54,54,11.06574074074074,7.948457633736822,359,-1.4651810584958218,0.1396011396011396,351,359,359,95,12.663157894736843,10.757894736842106,95,95,95,-14.128338953232664,-10.618293597240966,454,454,0,446,8,454,0,0,0
oauthlib__oauthlib.1fd52536,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,398,-0.7135678391959799,0.8015463917525774,388,398,398,53,6.679245283018868,6.521739130434782,46,53,53,7.392813122214847,5.720192738682205,356,-1.5112359550561798,0.10294117647058823,340,356,356,95,6.4,6.127659574468085,94,95,95,-7.91123595505618,-6.024718397997497,451,451,0,434,17,451,0,0,0
pallets__markupsafe.620c06c9,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,33,-0.696969696969697,-0.12121212121212122,33,33,33,12,0.5833333333333334,0.08333333333333333,12,12,12,1.2803030303030303,0.20454545454545453,22,-0.6363636363636364,0.0,22,22,22,23,-0.08695652173913043,-0.13043478260869565,23,23,23,-0.5494071146245059,0.13043478260869565,45,45,0,45,0,45,0,0,0
pallets__markupsafe.620c06c9,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,33,-1.1515151515151516,-0.5454545454545454,33,33,33,1,-2.0,-2.0,1,1,1,-0.8484848484848484,-1.4545454545454546,33,-1.1515151515151516,-0.5454545454545454,33,33,33,1,-2.0,-2.0,1,1,1,0.8484848484848484,1.4545454545454546,34,34,0,34,0,34,0,0,0
pallets__markupsafe.620c06c9,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,32,2.125,-0.4642857142857143,28,32,32,10,4.7,-0.8,10,10,10,2.575,-0.33571428571428574,23,2.347826086956522,0.0,19,23,23,19,3.210526315789474,-1.105263157894737,19,19,19,-0.8627002288329519,1.105263157894737,42,42,0,38,4,42,0,0,0
seperman__deepdiff.ed252022,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,531,-15.655367231638419,-1.5113207547169811,530,531,531,125,-19.496,-3.682926829268293,123,125,125,-3.84063276836158,-2.1716060745513115,428,-9.91588785046729,0.32235294117647056,425,428,428,228,-28.535087719298247,-6.100877192982456,228,228,228,18.619199868830957,6.423230134158927,656,656,0,653,3,656,0,0,0
seperman__deepdiff.ed252022,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,524,-8.885496183206106,-0.24470134874759153,519,524,524,76,-4.5394736842105265,-1.1714285714285715,70,76,76,4.34602249899558,-0.92672722268098,467,-9.09421841541756,0.2565789473684211,456,467,467,133,-5.669172932330827,-2.4511278195488724,133,133,133,-3.4250454830867323,2.7077067669172936,600,600,0,589,11,600,0,0,0
seperman__deepdiff.ed252022,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,511,-13.708414872798434,-0.33861386138613864,505,511,511,102,-5.607843137254902,-1.11,100,102,102,8.100571735543532,-0.7713861386138614,423,-14.754137115839244,0.1493975903614458,415,423,423,190,-7.031578947368421,-1.8105263157894738,190,190,190,-7.722558168470823,1.9599239061509195,613,613,0,605,8,613,0,0,0
tkrajina__gpxpy.09fc46b3,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,238,-0.4327731092436975,0.23404255319148937,235,238,238,126,4.373015873015873,3.024193548387097,124,126,126,4.80578898225957,2.7901509951956074,169,2.4023668639053253,0.3719512195121951,164,169,169,195,0.2153846153846154,1.8923076923076922,195,195,195,2.1869822485207098,-1.520356472795497,364,364,0,359,5,364,0,0,0
tkrajina__gpxpy.09fc46b3,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,237,-1.9831223628691983,-1.3390557939914163,233,237,237,101,-5.247524752475248,-2.707070707070707,99,101,101,-3.2644023896060492,-1.368014913079291,192,0.6302083333333334,0.10752688172043011,186,192,192,146,-7.678082191780822,-4.109589041095891,146,146,146,8.308290525114156,4.217115922816321,338,338,0,332,6,338,0,0,0
tkrajina__gpxpy.09fc46b3,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,226,-0.11504424778761062,-1.9439252336448598,214,226,226,89,-4.730337078651686,-5.578313253012048,83,89,89,-4.615292830864075,-3.6343880193671882,191,3.2722513089005236,-0.28735632183908044,174,191,191,124,-8.64516129032258,-6.739837398373984,123,124,124,11.917412599223104,6.452481076534903,315,315,0,297,18,315,0,0,0
